title,lyrics
Ay Cariño,"De qué estás hecha tú
De qué estás hecha
Que cuando estoy contigo
Mis alas tiemblan

De que estás hecha tú, que si te vas
Se va detrás de ti mi vida entera
Dejándome en el aire, en el vacío
Noches sin estrellas
Y un oscuro y frío amanecer

Adonde vayas tú yo iré contigo
Y si te quedas tú también me quedo
Ya me aprendí tu voz, también tus besos
Ya eres mi otra mitad, mi gran locura

Adonde vayas tú yo iré contigo
Y si te quedas tú también me quedo
Feliz oyendo el ritmo de la cuna
Sabiendo que mi hogar está en tu cuerpo

Ay, cariño, las cosas
Más bonitas de la vida
Ayer aún no sabía que existías
Y hoy si no estás conmigo estoy perdido

De qué estás hecha tú
De qué materia
De gotas de rocío
De Luna llena

De qué estás hecha tú, que si te vas
Se va detrás de ti mi vida entera
Dejándome en el aire, en el vacío
Noches sin estrellas
Y un oscuro y frío amanecer

Adonde vayas tú yo iré contigo
Y si te quedas tú también me quedo
Ya me aprendí tu voz, también tus besos
Ya eres mi otra mitad, mi gran locura

Adonde vayas tú yo iré contigo
Y si te quedas tú también me quedo
Feliz oyendo el ritmo de la cuna
Sabiendo que mi hogar está en tu cuerpo

Ay, cariño, las cosas
Más bonitas de la vida
Ayer aún no sabía que existías
Y hoy si no estás conmigo estoy perdido

Ay, cariño, las cosas
Más bonitas de la vida
Ayer aún no sabía que existías
Y hoy si no estás conmigo estoy perdido"
Ayer,"Hoy en un sueño te encontré
Como un loco te besé
Y estrenamos nuestro amor
Hoy lejos de la realidad
Conocí la eternidad
En un abrazo tuyo

Cómo me duele saber
Que esto es algo que solo soñé
Nos desgarramos de placer
Una promesa quedó
Nos juramos lealtad sin testigos
Comprometimos el alma

Hoy me doy cuenta que te amé
Que mi vida la dejé
En un sueño que soñé
Ayer, ayer

Cómo me duele saber
Que esto es algo que solo soñé
Nos desgarramos de placer
Una promesa quedó
Nos juramos lealtad sin testigos
Comprometidos
Tú y yo unidos
Comprometimos el alma

Hoy me doy cuenta que te amé
Que mi vida la dejé
En un sueño que soñé
Ayer"
Balada Para Mi Abuela,"Ella es como una canción
Y de todo corazón, mi abuela
Ella creció como el pan
Por eso es como un trigal, mi abuela
Tiene los ojos de Dios
Dulzuras de una ro-ro, mi abuela
Tiene los años cansados
Pero es como el jardín de mi patio
Me envuelve el alma con su delantal
Y ya camina despacio

Mi abuela es campana que alegra la casa
Ella es una historia de azúcar y amor
Tiene mi abuela ojitos de estrellas
Tiene mil auroras en su corazón
Mi abuela es el verso que entra por mi tiempo
Quedo arrugadita una Navidad
De tanto más dar ternuras
Quedo sin Sol en su espalda
Tiene un pedazo de siglo en su voz
Y un tibio leño en su falda

Y un tibio leño en su falda"
Bandido Cupido,"Flechas clavadas en tu corazón
¿Quién a disparado?
¿De donde han salido?
¿Quién te ha atravesado el corazón?

Flechas secretas en tu corazón
¿Qué té esta pasando?
¿Qué me estas mirando?
Como siempre quise que quisieras
Y ahora quiero que me quieras
Y que sepas que...

No fui yo, fue cupido
No fui yo el bandido
No fui yo, fue cupido
El que te hirió

Flechas sin rumbo, flechas de amor
Has tardado mucho
Pero al fin le has dado
Has hecho diana
En lo más hondo de su corazón
Amor, amor, amor, amor.

No fui yo, fue cupido
No fui yo el bandido
No fui yo fue cupido
Cupido bandido

No fui yo, fue cupido
No fui yo el bandido... etc."
Bésame Mucho,"Bésame, bésame mucho
Como si fuera esta noche
La última vez
Bésame, bésame mucho
Que tengo miedo tenerte
Y perderte después

Quiero tenerte muy cerca
Mirarme en tus ojos
Verte junto a mí
Piensa que tal vez mañana
Ya estaré lejos
Muy lejos de aquí

Bésame, bésame mucho
Como si fuera esta noche
La última vez
Bésame, bésame mucho
Que tengo miedo tenerte
Y perderte después
Bésame, bésame mucho"
Blanca Navidad,"Oh, blanca Navidad, sueño
Que todo és blanco alrededor
Blanca Noche Buena
Mi mensajera
De paz y de buen amor

Oh, blanca Navidad, nieva
Un blanco sueño y un cantar
La nostalgia vuelve al hogar
Al llegar la blanca Navidad

Blanca Noche Buena
Mi mensajera
De paz y de buen amor

Oh, blanca Navidad, nieva
Un blanco sueño y un cantar
La nostalgia vuelve al hogar
Al llegar la blanca Navidad"
Bravo Amor Bravo,"Aplaudamos porque hicimos sin dudarlo
En esta farsa que acabamos, un buen papel
Tan perfecto que si hubiéramos rodado
Los mil Oscar de este año
Serían nuestros sin querer

Aplaudamos porque amando sin amarnos
Jamás notamos nada extraño ni tú ni yo
Sin ensayos la secuencia era perfecta
Tu pensando en otra vida
Yo pensando en otro amor

El guión era estupendo
Dos muchachos se enamoran
Y en la cresta de la ola
El descubre a otra persona
Y ella a otro que no es él

Pero temen confesarlo
No se quieren hacer daño
Y fingiendo y ocultando
Llega el día en que sus bocas
No se llegan a entender

Ya eran besos maquillados
Desvaídos los abrazos
Era el fin de aquella historia
Se acababa la parodia
Que era absurdo sostener

Bravo amor bravo amor bravo
Que magníficos actores tú y yo
Bravo amor bravo amor bravo
Nos reímos nos burlamos
De nuestro amor

Aplaudamos porque amando sin amarnos
Jamás notamos nada extraño ni tú ni yo
Sin ensayos la secuencia era perfecta
Tu pensando en otra vida
Yo pensando en otro amor

El guión era estupendo
Dos muchachos se enamoran
Y en la cresta de la ola
Él descubre a otra persona
Y ella a otro que no es él

Pero temen confesarlo
No se quieren hacer daño
Y fingiendo y ocultando
Llega el día en que sus bocas
No se llegan a entender

Ya eran besos maquillados
Desvaídos los abrazos
Era el fin de aquella historia
Se acababa la parodia
Que era absurdo sostener

Bravo amor bravo amor bravo
Que magníficos actores tú y yo
Bravo amor bravo amor bravo
Nos reímos nos burlamos
De nuestro amor"
Campeão,"Subo ao ring
Gritos do público, luz de flash
E sobe o árbitro
Soa o gongo
No quadrilátero
Em ação
Meu coração dispara
Dispara, dispara, dispara

Campeão
Um lutador por ti, sou campeão
Tu és o meu prêmio
Porque é o campeão
É o mais forte
Sendo campeão
Ganho teu corpo
Amor de lutador

Golpes vão
Golpes acertam
Mas o meu rival
Não me dá trégua
Eu só penso que
Quero você pra mim
Lá vou eu
E a luta chegou ao fim

Campeão
Um lutador por ti, sou campeão
Tu és o meu prêmio
Porque é o campeão
É o mais forte
Sendo campeão
Ganho teu corpo
Amor de lutador

Campeão
Um lutador por ti, sou campeão
Tu és o meu prêmio
Porque é o campeão
É o mais forte
Sendo campeão
Ganho teu corpo

Campeão
Um lutador por ti, sou campeão
Tu és o meu prêmio
Porque é o campeão
É o mais forte
Sendo campeão
Ganho teu corpo

Campeão"
Campeon,"En el ring gritos del público
Luces de flash, ya sube el árbitro
Suena el gong y el cuadrilátero
En acción mi corazón
Se para, se para, se para, se para

Campeón boxeador
Por ti soy campeón
Tú eres el premio
Porque campeón es él mas fuerte
Siendo el campeón gano tu cuerpo
Amor del boxeador

Yeh yeh, yeh yeh, yeh yeh yeh
Yeh yeh, yeh, yeh, yeh, yeh
Yeh yeh, yeh yeh yeh, yeh yeh
Yeh, yeh, yeh, yeh, yeh

Golpes van y golpes vienen
Pero mi rival no me detiene
Sólo pienso que quiero tenerte
Hoy allá voy, lanzo mi puño y le doy

Campeón boxeador
Tú eres el premio
Porque campeón es él mas fuerte
Siendo el campeón gano tu cuerpo
Amor de boxeador

Yeh, yeh yeh, yeh yeh, yeh, yeh
Yeh, yeh, yeh yeh yeh, yeh
Yeh yeh, yeh yeh yeh, yeh Yeh 
Yeh, yeh, yeh, yeh yeh yeh

Campeón boxeador...  etc."
Chiamami,"La cittá
É grande ma ti cerco
Tu chissa
Che cosa stai facendo

Vedo te
Tremare
Penso a te
Sto male

Io per te
Non so cosa farei
Chiamami
Fai il mio numero e chiamami

So che hai tanto bisogno
Di sentire
La mia voce
Per favore tu chiamami

Sei in pericolo
Chiamami
Dimmi qualsiasi cosa
Ma non stare zitta mai

Io sto qui
Ti aspetto
É cosi
Lo ammetto

Io per te
Il mondo brucerei
Per favore tu chiamami
Prendi il telefono e chiamami

Dimmi che ormai hai deciso
Che tu hai chiuso
Col passato
Per favore tu chiamami

Fai il mio numero e chiamami
Trova il coraggio di dirmi
Che ti amo
Che mi ami"
